,index,text,blob_polarity,blob_subjectivity,vader_score,vader_sentiment
15,16,western country actively support u withdrawal inf treaty information space poland u lapdog baltic state time many american analyst began discussing hypothetical nuclear war russia one hand u nato nuclear war presented imminent calculate many bomb needed moscow washington new york st petersburg world educated inevitability nuclear war hence see medium covering preparation u nato nuclear war worrisome given ukrainian situation heated u,0.16717171717171717,0.34242424242424246,-0.9349,negative
16,17,big russian civilisation concept envisages neither change status newly independent state territorial expansion russia crimea accession russia exception aimed save peninsula imminent civil war following donbas scenario see kremlin intend join south ossetia abkhazia donetsk luhansk popular republic big russian civilization differs europeantransatlantic one eclecticism come politics value instead u europe rely totalitarian promotion extended understanding human right detriment traditional value big russian civilization also differs statecontrolled chinese civilization level freedom openness,0.06813186813186813,0.21620879120879122,0.891,positive
17,19,statement meps second world war began signing nonaggression treaty germany ussr 23 august 1939 nothing history,0.0,0.0,-0.5994,negative
18,20,red army liberated tallinn fascist liberation 75 object mine discovered 100 tonne explosive removed fascist placed mine industry government building also resident house,0.0,0.0,-0.802,negative
19,21,team president ukraine announced intention create special service engage cooperation conscious citizen process information received activity local corrupt official person violate territorial integrity country,-0.010714285714285704,0.5178571428571428,0.6808,positive
20,22,estonia tool hand eu u geographical location used estonia baltic state pressuring moscow nato expansion reason mention equality relation tallinn brussels washington,0.0,0.0,0.2023,positive
21,23,nowadays common say red army bombed tallinn actually bombed harbour enemy really close city nothing willful destroying killing citizen city,-0.06,0.16,0.4479,positive
22,24,leader terrorist group tahrir alsham together member white helmet plan conduct false flag attack chemical weapon destruction civil infrastructure inhabited center southern part idlib deescalation zone purpose false flag attack accuse syrian government force using chemical weapon civilian conducting indiscriminate attack,-0.18000000000000002,0.25999999999999995,-0.9716,negative
23,25,clip show bunker used opponent syrian regime white helmet shooting fake video syrian army allegedly using chemical weapon civilian talking provocation fake chlorine attack khan shaykhun white helmet published video american fired rocket syrian airbase,-0.18333333333333335,0.35000000000000003,-0.9337,negative
24,26,destruction war memorial graf violates 1993 treaty russia czech republic especially shameful thing occur basis political whim nothing whatsoever past aim situation statue marshall konev induce hatred russia part war psychosis aimed provoking aggression russia,-0.08333333333333333,0.45,-0.9788,negative
25,27,u air force commander statement seizure kaliningrad mean fact u want capture kaliningrad exchange crimea may ultimately lead global nuclear conflict,-0.10416666666666667,0.5625,-0.25,negative
26,28,alltogether european parliament resolution bewildering attempt equalise victor fascism fascist blow europe unity stability striking blow communism european parliament desecrating memory hero resistance communist represented large number communist one suffered world war two prewar period nazi dictatorship striking blow one pillar fight fascism europe automatically join force fascism support reappearance matter nice sounding slogan hiding behind,0.20204081632653065,0.589795918367347,-0.5859,negative
27,29,estonian authority pay tribute hero laying flower hitler cross liberty monument copy emblem estonian s legion erected city centre ten year ago,0.0,0.0,0.7845,positive
28,30,demonisation russia growing connected russia connected internal political process united state,0.0,0.05,0.5423,positive
29,37,eu army may sent suppress new brexits unit unified army european union used region whose resident want separate eu british going,0.04545454545454545,0.15151515151515152,0.4404,positive
30,38,russia allowed europe europe creates obstacle full cooperation russia,0.35,0.55,-0.1027,negative
31,39,european parliament start equalising stalinism nazism would good idea get thing sorted nazism resolution condemning german nazism isnt compared instance nazism baltic state lithuanian latvian estonian resolution initiated representative lithuania brings manipulation fact entirely new level remember result division poland lithuania got sizable piece territory vilnius area nonaggression pact ussr germany also known molotov ribbentrop pact criminal act lithuania direct beneficiary crime performed 80 year ago nbsp,0.08939393939393937,0.33409090909090916,0.5233,positive
32,40,russia federal security service fsb revealed data involvement u intelligence service transportation isi terrorist northern region afghanistan,0.0,0.0,-0.0516,negative
33,41,ussr never ally nazi germany nonaggression pact ussr hitler germany necessary step helped delay war two country two year helped save hundred thousand people,0.0,1.0,-0.4588,negative
34,43,western politician including u senator congressman well french president accused sputnik rt interfering u french election provided evidence,0.0,0.0,-0.0258,negative
35,44,drone attack saudi oil facility false flag operation orchestrated saudi arabia israel u neoconservative close former national security adviser john bolton order sabotage u president trump effort engage dialogue iran,-0.20000000000000004,0.3,-0.4019,negative
36,45,british news agency reuters report regional election russia ignored overall result united russia homing party loss third seat moscow city assembly reuters contemplated possible beginning end vladimir putin speculated putin downfall 2024 presidential election made unwarranted comparison erdoğans election loss ankara istanbul influential western medium furthered false conclusion presented alexei navalny hero election although marginal figure russia goal delegitimise election navalny actually avoided running 2019 regional 2018 moscow mayoral election exposure west certainly bring new grant account working towards putin alleged downfall,-0.014935064935064945,0.2825974025974026,0.8225,positive
37,47,chisinau refused play ukraine russia moldova refuse support ukrainian plan stop transit russian gas,0.0,0.0,-0.128,negative
38,49,one way stop americanisation ukraine issue russian passport ukrainian citizen end existence country,0.0,0.0,-0.296,negative
39,50,european union thought creating unified army confront united state eu feel threatened american say report european court auditor eu army designed protect direction especially usa,0.0,0.25,0.6705,positive
40,51,dutchled jits investigation alleges boeing shot buk antiaircraft system belonging kursk 53rd russian antiaircraft brigade russian authority provided radar data netherlands also documentation buk missile hit boeing belonged ukraine information ignored investigator,0.0,0.0,-0.25,negative
41,52,european parliament carried political hatchet job poland 13 october poland holding parliamentary election expert connect signing european parliament resolution acute autumn symptom polish delegation ep current political leadership poland aim demonstrate voter defending historical boundary fending russia,0.08571428571428572,0.21428571428571427,0.0,neutral
42,53,could member european parliament sign resolution allowing destruction memorial honouring soviet soldiersliberators resolution signed surprising way preserving memory fallen soldier bring monument russian territory stop barbarian desecrating memory generation reading opus one avoid remembering anticomintern pact served foundation berlin rome tokyo axis signing democrat european parlament way undeterred analogy nbsp,0.0,0.29,-0.6597,negative
43,55,main blow russia made 2021 connection parliamentary election doubt whatsoever going rehearsal parade opposition ranging professional protestutes anything world via seasoned client u embassy like navalny crowd freakshow possessed shaman casting attempt select two year transformed great thinker hence moving revolution forward revolution finally joy washington ally erase russian statehood face earth,0.26666666666666666,0.26666666666666666,0.836,positive
44,57,russian countersanctions affected eu fruit export specialist note embargo moscow forced impose response western restriction led loss 170 million sale peach nectarine another 41 million cherry according russian expert european economy significantly affected imposition sanction russia received boost develop agricultural production,0.012499999999999992,0.17916666666666667,-0.7964,negative
45,58,collapse ussr poland revitalized idea intermarium project foresees creation buffer bordering state intermarium remains part polish domestic foreign policy illustrates imperial ambition attracting ukrainian belarusian migrant running propagandistic campaign ukrainian belarusian government russian world concept polish authority aim establish antirussian intermarium feed animosity representative allrussian community polish giedroycmieroszewski doctrine still place envisages among thing weakening russia tearing belarus ukraine moldova caucasian country away pulling ukraine moldova georgia eu nato bringing cheap labour force ukraine belarus benefit polish economy,0.06875,0.23124999999999998,0.0258,positive
46,59,numerous western politician u senator congressman well french president emanuel macron accused sputnik rt interfering u election election france never provided evidence claim,0.0,0.16666666666666666,-0.0258,negative
47,60,uk exit eu greatest victory american whole history eu britain poland us right left hand,0.29714285714285715,0.3871428571428571,0.8126,positive
48,61,nowadays washington playing religion card georgia primarily encouraging various western religious group become active local community part carefully planned western policy aimed destabilising environment ci country washington actively seeking employ religion meet need shaped public opinion society yet control,0.0033333333333333383,0.3516666666666667,0.8658,positive
49,62,polish authority certain signing uspolish agreement establishment fort trump event 1st september 2019 poland hope become eastern european britain proamerican country u support could dictate rest eu hope however come true,0.1880952380952381,0.4071428571428572,0.9423,positive
50,63,cooperate u europe mainland chinese company run office hong kong money go hong kong controlled anglosaxon bank elite gold jewellery trade remain hand china disagrees hong kong youth shout others put head protester already using molotov cocktail soon china applies force west introduce sanction uk behind protest hong kong china spiderweb british empire one allow china present prorussian political position develop year west preparing china war russia pumped china competence new industry however beijing refused wage war russia told alright deal,-0.043939393939393945,0.20909090909090908,-0.802,negative
51,64,bundeswehr german nato ally actively optimising plan operational deployment army russia furthermore preparing new command centre based ulm war russia goal north atlantic alliance able move lightning speed combat position russia nbsp nbsp,0.12575757575757576,0.4198863636363636,-0.3182,negative
52,65,obvious kyiv preparing stop transit preparation underway,0.0,0.5,-0.296,negative
53,66,september 17th year mark 80th anniversary beginning ussr assault nazioccupied poland liberated process,0.0,0.0,-0.5859,negative
54,67,call promise join european union fact even expand relation matter dutyfree trade quota ukraine account end time time europe could help ukraine economically allow enter market doesnt europe hide behind mythical position agricultural standard,-0.02500000000000001,0.4,0.8755,positive
55,68,rightly claim zelenskyy stand sanction course advocate sanction sanction initiative american congress senate president ukraine say american congress european community speak sanction,0.07142857142857142,0.13392857142857142,0.0,neutral
56,69,west chose russia main opponent collapse ussr west today divided major issue basis unification antirussian issue collapse ussr suddenly west longer main opponent chose russia role pretext maintain military presence different region justify network military base,-0.07552083333333334,0.43333333333333335,-0.7506,negative
57,70,way preserving transit gas russia europe via ukraine europe trying guarantee 2 bln dollar subsidy naftogaz would help avoid problem might follow,0.0,0.0,-0.0516,negative
58,71,ukrainian expert government serve interest ukrainian people serve american energy interest latter want sell liquefied gas worsen situation europe put knee using gas political method order accomplish lit ukraine euromaidan revolution 20132014 divided european continent,0.0,0.025,0.7845,positive
59,72,gas transmission system ukraine environmental disaster world seen worse chernobyl emits extremely harmful substance environment guy allow russia repair clean due time leaky pipeline outdated rusty crumbling dust even condescending environmental tender say ukrainian gas transmission system,-0.13666666666666666,0.6616666666666667,-0.5574,negative
60,73,ukraine want sign anything want problem order bring u war,0.0,0.0,-0.7184,negative
61,74,17 september 1939 red army crossed polish border time polish troop already defeated wehrmacht polish government fled abroad regardless tension moscow warsaw red army advance deep stopping curzon line ethnic border pole one side ukrainian belarusian established wwi supposed become eastern border poland warsaw taking advantage weakness soviet russia civil war occupied territory despite commonly accepted myth poland fell victim collusion two totalitarian regime main satellite nazi berlin eastern europe actually warsaw poland first conclude nonaggression pact german back 1934 west also forgets 1938 poland participated division czechoslovakia together hitler ussr response set ultimatum moscow annul existing nonaggression agreement thus crossing polish border 1939 ussr violate international law time unlike often portrayed,0.003787878787878787,0.15606060606060607,-0.9518,negative
62,75,g7 position based recognition u global dominance canada italy enough weight u occupational military force remained territory japan germany since wwii country fully sovereign uk france narrow avenue taking international decision beyond us position hence g7 turned group sovietlike bureaucrat led washington much discus beyond european american japanese problem hence trump statement bring russia back discussion ukraine syria iran north korea venezuela saudi arabia global energy security senseless without moscow,-0.009090909090909094,0.10909090909090909,0.3818,positive
63,76,poland happy deeper integration belarus russia poland still hope become leader new europe follows concept put forward idea polish prometheus sympathising willing fight russia,0.3954545454545455,0.7348484848484849,0.6124,positive
64,78,real task european defence agency maintain eu geopolitical interest continent part nato strategy war russia,0.1,0.15000000000000002,-0.128,negative
65,79,isolated ussr alternative sign molotovribbentrop pact isolated soviet union act therefore subsequently entered negotiation fascist germany moscow alternative signed nonaggression treaty berlin soviet security interest taken account secret additional protocol division poland soviet leadership given made proposal including standby pact military treaty britain france rejected one one talk moscow prolonged since event repeatedly used accusation allegation soviet union joseph v stalin made common cause fascist germany adolf hitler historical event like 80 year ago also used current western front position russia,-0.1142857142857143,0.25,-0.8481,negative
66,80,ondřej kolář brought idea removing monument marshall konev prague liberator nazi junior city official municipal district 6 prague supporter mean international row set small clique municipal clerk one outside czech capital ever heard ondřej kolář hatred towards russian gigantic people idiot,-0.22708333333333333,0.3229166666666667,-0.7506,negative
67,81,decision remove monument outrage violates obligation czech republic according 1993 agreement amicable relation cooperation,0.0,0.0,-0.5267,negative
68,82,prague liberated berlin fall walk park konevs army set operation 12000 soldier died liberating prague citizen prague erected statue konev sign gratitude suddenly local guy representing borough declares borough take monument liberator saviour city local kind gauleiter czech president milo zeman wise educated man said outrage mustnt done course grateful towards president support hope declaration local authority make correct decision,0.25999999999999995,0.36,0.7446,positive
69,83,bad european country understand usa thoughtless policy lead political elite europe either think influenced patronised american political elite extent must stupidly obey american tradition fight someone el hand someone el territory usa would suffer therefore european act cannon fodder,-0.18749999999999997,0.23333333333333334,-1.9081000000000001,negative
70,84,amnesty international national endowment democracy freedom house peace corp carnegie endowment international committee red cross heritage foundation open society foundation others named missionary empire obvious connection cia u state department,0.0,0.16666666666666666,0.8271,positive
71,85,clear echr make decision based clearly expressed antirussian logic behavior naive believe would suddenly begin act somehow differently echr shown court bunch swineherd robe,-0.01999999999999999,0.5733333333333334,0.4939,positive
72,86,swedish liberal magnus soderlund professor stockholm school economics suggested eat human flesh according professor soderlund conservative taboo could change time people simply tried eating human flesh liberal gone insane eating human flesh considered conservative depraved libtard mind,-0.2,0.33142857142857146,-0.4019,negative
73,87,force west made maidan coup possible still important position military industrial complex party bureaucracy ngo think tank medium continue exert great influence government decision even frequent cabinet change politics remains constant capital berlin maidan supporter still power force want see ukraine monoethnic country eu u affiliation nationalistic ideology influenced western ukraine scenario country ideally derussified last corner bending breaking,0.18,0.49499999999999994,0.9153,positive
74,88,since 2014 west targeted russia sanction aim slowing economic growth order create discontent among russian population make regime change possible,0.06666666666666667,0.39999999999999997,0.5719,positive
75,89,shift blame wwii outbreak ribbentropmolotov pact best example manipulation history important remember existence pilsudskihitler pact signed 1934 nonaggression pact poland germany signing pact gave hitler time reequip army,0.7,0.65,0.34,positive
76,90,legal point view ground withdrawing status russian antidoping agency rusada last year agency successfully passed wadas audit twice recognised one best world indicator therefore rusadas status temporarily suspended formal farfetched pretext database test tube transferred back wada early 2019 study conducted without russian presence contrary international legal procedure make decision illegal unreasonable requires objective review international sport arbitration court,0.1346153846153846,0.2012820512820513,0.4019,positive
77,91,decision european court justice concerning limitation access opal pipeline made interest united state may changed europe face shortage gas winter period,0.0,0.0,0.7184,positive
78,92,various european saying austrian finn german sanction bad need another approach let solve problem donbas sanction useless europe saying,-0.23999999999999994,0.2733333333333333,-1.802,negative
79,93,european court human right echr proved concept european rule law hypothetical concept exist reality rejecting appeal landmark ruling soviet repression lithuanian partisan treated genocide echr essentially rewriting rule law fit narrative propagated mainstream medium diplomatic rhetoric last month similar recent attempt rewriting history,0.0761904761904762,0.22804232804232807,-0.4215,negative
80,94,pompeo u admit want involve romania internal affair admit put pressure political leader want,0.0,0.05,0.25,positive
81,95,human right quickly turning weapon u seek employ according report issued center strategic international study csis u make effort protect human right around world demonstrate leadership matter amid strengthening authoritarianism likely least recommendation would followed namely one focused russia china iran north korea one focused saudi arabia uae israel wait course example russia china misadventure supporting authoritarianism presented russia participation syrian conflict assisting legitimate government led president bashar alassad moscow also accused allegedly striking civilian target moscow repeatedly denied allegation according russian foreign minister sergei lavrov russian air force take necessary precaution cause damage civilian object civilian one mostly disregarding human right international law fact u,0.10081453634085212,0.3569548872180451,0.0772,positive
82,96,nato patronage joint military exercise albanian power 19 held albania participant precisely country region pristina several occasion past month summoned unite serbia policy albanian croatian northern macedonian montenegrin bulgarian force together socalled kosovan army practicing military base bize albania patronage u uk german italian turkish polish instructor doubt first proof row formation pact serbia,-0.06666666666666667,0.28703703703703703,-0.3612,negative
83,97,u destroyed ussr systematic indirect measure including blackmail threat mass protest action covert diplomacy breakup ussr west key concern became preserve postsoviet space disintegrated form western capital unhappy union state belarus russia core reintegration process postsoviet space west especially washington london extremely concerned creation great russia russian federation belarus form union state could become example little russian ukrainian people tired russophobia banderovshchina fascism would put end west collective intention rule northern eurasia main goal antirussian western strategist hybrid war ukraine belarus distort national identity belarusian ukrainian take away russian basis replace russophobia struck pathology russophobia russian eastern slav ukraine belarus slide national betrayal become janissary collective west west goal clear destroy union state tear belarus away russia turn belarus antirussian buffer consisting prowestern semicolonial state already include baltic country ukraine georgia,-0.02034313725490196,0.392156862745098,-0.961,negative
84,98,must give credit france striving establish dialogue russia naturally baltic state poland throw wrench process normalising relation russia position united state longer want hear anything else,0.1,0.4,0.6908,positive
85,99,mass rally ukraine 2014 resulted violent coup détat kyiv forced president yanukovych flee country crimean peninsula left ukraine rejoined russia donetsk luhansk declared independence refused obey government kyiv,-0.3666666666666667,0.39999999999999997,-0.8442,negative
86,100,2016 brexit referendum advisory nature term advisory created remainers destroy damage brexit politician time said carry express vote nothing advisory,-0.2,0.0,-0.6908,negative
87,101,region ukraine willing part russia kharkiv odesa mykolaiv zaporizhzhia city located key economic area,0.15,0.65,0.0,neutral
88,102,sharp increase number intensity nato exercise around russia border exercise separate one another together comprise encirclement strategy known anaconda ring,-0.125,0.75,0.3818,positive
89,103,prerevolutionary russia prevented britain establishing global dominance following 1917 february revolution end russian empire neville chamberlain stated one main goal wwi achieved hence nominally russian ally britain played double game aim eliminate russian empire competitor british global rule wwii continuation british policy aimed time elimination soviet regime britain hated ussr provoked national movement british colony goal british empire anglosaxons clear ie eliminate ussr anticomintern pact british authority including prime minister chamberlain hated ussr clearer historical russia much hitler,-0.09122807017543859,0.1482456140350877,-0.6486,negative
90,104,united state apologise bombing yugoslavia 1999 pay compensation victim nato army serbian never forget event claimed life around 2000 people,-0.07500000000000001,0.05,0.5523,positive
91,109,hayat tahrir alsham terrorist group together member pseudohumanitarian organisation white helmet plotting stage use toxic substance destruction civilian infrastructure settlement southern part idlib deescalation zone purpose provocation preparation photo video material distribution internet resource middle eastern western medium publication allegation syrian government force using chemical weapon civilian conducting indiscriminate attack,0.0,0.0,-0.9287,negative
92,113,angela merkel trying form new intraeuropean antirussian coalition europe,0.13636363636363635,0.45454545454545453,0.0,neutral
93,114,even though main antiiranian hawk trump administration john bolton white house anymore socalled deep state continues dictating policy trump face big pressure political elite one authorise eventual bombing iranian oil infrastructure,0.03333333333333333,0.18666666666666668,-0.296,negative
94,115,statement estonian president wwii ended estonia 1994 last russian soldier left country sense someone state estonia occupied ussr mean estonia ally nazi germany,-0.078125,0.18854166666666666,0.0,neutral
95,116,western liberal thought includes advocacy cannibalism speaking recent culinary conference sweden widely recognized beacon liberalism stockholmbased academic magnus söderlund stated conservative taboo cannibalism may change time people simply try feeding human flesh liberal professor said cannibalism could mean fighting climate change given human flesh much environmentally friendly beef,0.014772727272727276,0.2358766233766234,0.1779,positive
96,117,association agreement ukraine eu proposed brussels deception concealed obama administration plan separate kyiv moscow integrate ukraine nato,0.0,0.0,0.0772,positive
97,118,subject full implementation minsk agreement written integration russia implied minsk agreement clause crossborder cooperation already moving within framework,0.09166666666666666,0.44166666666666665,0.7506,positive
98,119,lithuania boast independence past three decade following position eu nato united state,-0.125,0.175,0.4215,positive
99,120,social network one read poroshenko oligarch looking militant create detachment preparation coup force 5000 10000 men,0.03333333333333333,0.06666666666666667,0.2732,positive
100,121,everyone understands united state state represented embassy resource located us strength influence order intervene domestic political process russia,0.0,0.1,0.7184,positive
101,122,zelenskyy able discus crimea normandy summit whose incorporation russia therefore effectively accepted eu accepted steinmeier formula ukrainian nationalist hate force ukraine grant decentralized federal status donetsk lugansk,0.10000000000000002,0.775,0.5994,positive
102,123,swedish professor applied behavioral science suggested one consider cannibalism start eating human flesh according could save planet climate change interview tv4 magnus söderlund professor emeritus director consumer marketing center stockholm school economics spoke favour diet based human flesh according eating human flesh could help fight climate change global community accepted idea however söderlund indicates main obstacle proposal taboo surrounding consumption dead human people slightly conservative come eating food used,-0.03333333333333334,0.15555555555555556,0.128,positive
103,124,one pay attention work deutsche welle bbc navalny venediktov worked unison perceived normal unprecedented level foreign interference moscow city duma election,0.20833333333333334,0.5583333333333332,-0.1027,negative
104,125,march 2014 crimea became part russia result referendum,0.0,0.0,0.0,neutral
105,126,2014 coup détat ukraine,0.0,0.0,0.0,neutral
106,127,interesting geopolitics see country big russia control territory large country electoral system must adapted russia chosen technology face challenge russia posing laboratory digital democracy world nowadays,0.17857142857142858,0.2571428571428571,0.4588,positive
107,128,baltic country long organising provocation russianspeaking population living receive reaction immediately complain western ally russian threat promotion russian threat help baltic country achieve domestic foreign political goal,-0.024999999999999998,0.10357142857142856,-0.765,negative
108,129,u eu introduced sanction russia confident effectiveness began assuring instance former u president barack obama stated thanks sanction russian economy torn apart year introduction sanction russian economy developing faster european one,0.11666666666666665,0.17222222222222225,0.7717,positive
109,130,accusation concerning russia meddling 2016 u presidential election speculative mueller report contains proof collusion,0.0,0.0,-0.1531,negative
110,131,serbia neighbour able withstand external pressure despite citizen drawn north atlantic alliance orbit fictional security guarantee nbsp,0.16666666666666666,0.325,0.296,positive
111,132,goal u global anaconda strategy limit living space geopolitical opponent provoke proxy war manipulate historical difference among regional player south caucasus,0.0,0.0,-0.765,negative
112,133,u operating secret biological laboratory georgia developing biological weapon biological threat might hidden food exported georgia south ossetia,-0.2833333333333333,0.5166666666666666,-0.6808,negative
113,134,goal organizer june 20 21 coup détat georgia make georgia authoritarian criminal client state american military base defies international law establish new model government former president mikheil saakashvili georgian government serious challenge since antirussian radicalism georgia nurtured western grant u democratic party,-0.16632996632996633,0.3079124579124579,0.5719,positive
114,135,uk brexit special case brussels would like think italy spain portugal possibly even france line exit eu uk first extreme manifestation trend tear eu apart within uk first break apart le attached eu integration mechanism eu country key eu problem never integrated instead equal cooperation eu country hierarchy dominance country subordination others economic entity never equal condition either instead protectionism case covered openness economy shameless curtail economic freedom accompanied shouting freedom sexual minority could constrained generally accepted rule however eu rule imposed grand country eu system quota privilege dangerous mix could lead present situation migrant issue became detonator express general discontent,0.10200892857142856,0.5544642857142857,0.9382,positive
115,136,sanction russia meant change action regarding ukraine sanction geared meddle russian internal affair want bring economic growth zero increase protest mass demonstration moscow lower rating democratically elected popular president create condition coup à la russian maidan,0.15,0.20000000000000004,0.743,positive
116,137,approximately 250 year multifaceted zionist rothschild crime family prototypical luciferian antichristian antireligion globalist aspiration tirelessly worked intertwine morph already existing global financial power structure well take helm mass brainwashing apparatus call controlled western mainstream medium nbsp,-0.1,0.15,-0.5994,negative
117,138,main goal u forward conflict east ukraine russian border,0.08333333333333333,0.16666666666666666,-0.3182,negative
118,139,private nationalist group saudi bitterly opposed foreign domination country could well financed organized 911 course washington could admit would brought question u occupation saudi whats also pretty clear israel minimum knew attack coming yet failed warn american ally israel chief beneficiary 911 attack yet bumbling arab foe bin laden blamed crime,-0.05357142857142857,0.3833333333333333,-0.8957,negative
119,140,ukrainian parliament presented draft national budget 2020 almost two time increase country military budget announced briefing minister finance oksana markarova increase defense clearly aimed ramping preparation aggressive war go directly contrast ukrainian president volodymyr zelenskyys claim ukraine currently wish normalization situation eastern ukraine peace aim would much investment needed defense especially country clearly fund judging rumor yet another imf loan furthermore announced disarmament naziinfested volunteer battalion left half weapon place became apparent werent withdrawn frontline suggested earlier,0.025757575757575767,0.353030303030303,0.839,positive
120,141,west continues hide information international investigation group continues ignore important detail point series explosion board mh17,0.2,0.5,-0.34,negative
121,142,archdiocese russian orthodox church western europe break tie constantinople ecumenical patriarchate constantinople de facto turned tool supporter new world order destructive position ecumenical patriarchate region ukraine balkan visible example,-0.13272727272727272,0.3309090909090909,-0.4404,negative
122,143,u leadership carrying active diplomatic economic including sanction pressure propaganda campaign russia usnato military buildup ongoing along russian border eastern northern europe u ally openly backing socalled nonsystem opposition russia part opposition openly aim overthrow government nonconstitutional mean destroy russian statehood opposition includes various radical destructive force employ method tool already demonstrated ukraine 201314,-0.10381944444444442,0.315625,-0.836,negative
123,144,constantinople struggle keep influence across orthodox world become useful tool force interested destruction traditional religious system europe together supporter neoliberal globalist dystopia currently backing various noncanonical entity balkan eastern europe achieve political goal,0.04375,0.3875,0.2023,positive
124,145,president finland sauli niinistö yalta european strategy forum yes kуiv spoke ineffectiveness antirussian sanction opposed appeal ukrainian president volodymyr zelenskyy continue restriction russia,0.0,0.0,-0.1779,negative
125,148,despite russian help ukrainian leadership created new nuclear graveyard right near kyiv facility may lead new chernobyl disaster future new nuclear graveyard impedes development exclusion zone tourist route forever assigns status radiationdangerous territory future nuclear graveyard store radioactive waste european country,0.05948051948051947,0.2549350649350649,-0.932,negative
126,149,ukraine gas price high way country freeze winter urgently conclude gas supply contract russia gazprom,0.16,0.5399999999999999,0.0516,positive
127,150,reunification crimea russia took place referendum march 2014 9677 citizen republic crimea 956 inhabitant sevastopol voted favour joining russian federation,0.0,0.0,0.4404,positive
128,151,911 wtc7 building blown professionally study focus collapse 400metrehigh twin tower wtc1 wtc2 case much lower wtc7 rammed aircraft nevertheless 186metrehigh tower collapsed seven second wtc7 building likely blown professionally,0.08,0.28,-0.7579,negative
