Unnamed: 0,topics
256,"evolution, transformation, crisis, relation, control"
257,"event, warsaw, war, russia, invited"
258,"germany, poland, protocol, would, pact"
259,"exercise, defence, building, country, nato"
260,"able, begin, western, save, syria"
261,"first, empire, murder, family, detat"
262,"minister, military, investigation, crime, ukrainian"
263,"pilsudski, came, book, write, necessary"
264,"emmanuel, made, today, macron, rothschild"
265,"carried, november, three, provocation, warship"
266,"nbsp, union, soviet, german, aggression"
267,"liberal, order, financial, world, globalism"
268,"poland, london, berlin, clash, supported"
269,"origin, terrorist, explosion, national, futile"
270,"protest, like, moscow, people, young"
271,"round, poisoning, russia, relation, force"
272,"contribution, thats, polish, war, killed"
273,"poland, culprit, wwii, organizer, main"
274,"commemorative, antirussian, war, gathering, outbreak"
275,"tree, christmas, european, year, new"
276,"speaking, year, tree, bell, migrant"
277,"mix, designed, make, georgian, forget"
278,"georgia, fiveday, ossetia, south, people"
279,"distinguished, nbsp, whether, georgian, child"
280,"external, welfare, minister, clear, according"
281,"stamate, creation, minister, work, moldovan"
282,"power, president, way, armed, ukrainian"
283,"violating, november, russian, strait, ship"
284,"primary, nbsp, loss, ukraine, awaits"
285,"president, war, trump, russia, nato"
286,"nbsp, analyse, clear, two, position"
287,"state, europe, brussels, western, romania"
288,"europe, culture, european, russia, value"
289,"major, sport, event, russia, decision"
290,"major, sport, event, russia, decision"
291,"major, sport, event, russia, decision"
292,"major, sport, event, russia, decision"
293,"french, interference, european, russian, election"
294,"enemy, west, democratic, image, lisbon"
295,"détat, searching, ukraine, people, died"
296,"realestate, without, italian, italy, howl"
297,"sum, kyoto, trillion, creating, russia"
298,"turn, location, military, montenegro, nato"
299,"turn, military, country, montenegro, nato"
300,"turn, barrack, base, country, nato"
301,"turn, military, montenegro, nato, andrijevica"
302,"location, berane, military, montenegro, nato"
303,"base, military, montenegro, border, nato"
304,"base, military, montenegro, nato, andrijevica"
305,"location, military, montenegro, border, nato"
306,"military, country, montenegro, border, nato"
307,"location, berane, military, montenegro, nato"
308,"berane, military, country, montenegro, nato"
309,"military, country, montenegro, nato, andrijevica"
310,"military, montenegro, nato, new, andrijevica"
311,"turn, base, also, country, border"
312,"turn, military, montenegro, border, nato"
313,"location, military, country, montenegro, nato"
314,"acknowledge, conflict, people, armed, announced"
315,"volodymyr, ukraine, country, russia, otherwise"
316,"accordance, nbsp, russia, information, problem"
317,"china, kong, play, long, hong"
318,"ukraine, representative, ci, commonwealth, debt"
319,"successfully, order, progressing, world, declining"
320,"authority, prepared, ukraine, lithuanian, soldier"
321,"father, country, baltic, child, prepared"
322,"nbsp, austria, european, rated, election"
323,"nbsp, germany, austria, significant, election"
324,"union, soviet, nazi, war, world"
325,"place, exist, say, stalled, crimea"
326,"bureau, reason, ukraine, military, body"
327,"slogan, official, ukraine, kyiv, greeted"
328,"halftruths, like, order, european, propaganda"
329,"georgia, eu, join, benefit, medium"
330,"occasion, criminal, statement, pact, decided"
331,"territory, bosnian, creating, donbas, srebrenica"
332,"similar, situation, nationalist, bosnian, srebrenica"
333,"protest, narrative, western, government, critical"
334,"state, eu, european, keep, belarus"
335,"majority, crimea, russia, want, one"
336,"success, referendum, russia, kyiv, live"
337,"population, declared, referendum, russia, one"
338,"kong, protest, hong, supporting, encouraging"
339,"kong, taking, comparable, hong, revolution"
340,"restrictive, applied, medium, russia, measure"
341,"investment, last, achieved, living, thunberg"
342,"rt, authority, sputnik, russian, medium"
343,"turn, hitherto, ukraine, position, problem"
344,"georgia, neither, strong, free, listen"
345,"life, sex, education, addition, health"
346,"respect, similar, right, civil, russian"
347,"partnership, history, plan, polish, belarus"
348,"georgia, state, empowers, minister, nato"
349,"moldova, neighborhood, pentagon, security, russia"
350,"eu, ukraine, russian, keep, belarus"
351,"state, president, genetic, ukrainian, independence"
352,"world, people, country, social, belarus"
353,"act, nbsp, ukraine, fact, holodomor"
354,"state, protest, future, trump, force"
355,"europe, territory, government, troop, aggression"
356,"denmark, greenland, american, trump, would"
357,"denmark, donald, greenland, pay, trump"
358,"membership, whereas, west, russia, global"
359,"union, poland, soviet, troop, german"
360,"uk, ussr, influence, stalin, beginning"
361,"usa, poland, base, polish, achieve"
362,"inequality, cause, poland, european, excluded"
363,"policy, united, based, russia, support"
364,"treaty, launched, get, initial, work"
365,"refute, polish, role, world, british"
366,"state, influence, establishment, russian, special"
367,"rightwing, coup, ukraine, government, german"
368,"kong, chinese, nazi, hong, ukrainian"
369,"possible, fomin, moscow, stranger, investigator"
370,"enabled, triggered, paramilitary, chaos, disrupt"
371,"law, restricting, gun, purpose, false"
372,"twitter, vote, outcome, russian, british"
373,"policy, antirussian, poland, potential, mean"
374,"pervert, army, michael, march, byden"
375,"treaty, reaching, exceptional, russia, destroyed"
376,"base, river, military, government, nicolás"
377,"without, made, us, result, latvia"
378,"moscow, forced, house, hitler, document"
379,"place, tense, relation, want, latvia"
380,"evidence, together, doubt, presented, cut"
381,"front, signing, pact, fact, signed"
382,"devaluation, termination, fund, developing, many"
383,"fund, immediately, colonial, activity, many"
384,"parliament, say, anp, nato, period"
385,"one, investigation, russia, blamed, factor"
386,"treaty, prohibited, american, weapon, likely"
387,"french, occupation, nazi, majority, one"
388,"sign, germany, fascist, soviet, effort"
389,"pilot, conclusion, show, fighter, one"
390,"pilot, didnt, warded, jet, one"
391,"order, show, intentional, received, bos"
392,"munich, agreement, nazi, european, forced"
393,"state, leave, bad, people, socioeconomic"
394,"ussr, within, france, coalition, create"
395,"instruction, ambassdor, given, russian, opposition"
396,"attack, poland, together, today, promotes"
397,"language, correctional, ukraine, russian, kyiv"
398,"party, internal, russia, ukrainian, broke"
399,"banker, co, plastic, warming, global"
400,"america, kong, protest, handed, red"
401,"treaty, never, presented, violated, inf"
402,"treaty, asked, accusation, russia, force"
403,"treaty, asked, produced, violated, supporting"
404,"union, dictator, world, accusation, two"
405,"antirussian, blockade, crimean, initiated, north"
406,"almost, sign, make, kyiv, transit"
407,"timiskov, nbsp, wikipedia, information, donation"
408,"terrorist, order, american, activity, isi"
409,"weakness, gaddafi, organised, advantage, overthrow"
410,"made, bring, lead, strategic, global"
411,"asfv, swine, stink, brown, fever"
412,"become, depopulated, may, prompt, baltic"
413,"europe, antirussian, resolution, western, present"
414,"treaty, narrative, axiom, russia, inf"
415,"able, involvement, far, russia, rating"
416,"echr, rally, russian, russia, million"
417,"nationalist, confessed, russophobic, lesbian, belarus"
418,"last, guaido, ngo, navalny, western"
419,"wada, theater, doping, turned, provocation"
420,"old, soviet, people, country, liberated"
421,"historical, firework, nazi, russia, latvia"
422,"minsk, nothing, authority, agreement, year"
423,"old, soon, agreement, implement, done"
424,"space, ussr, soviet, future, bright"
425,"evidence, president, admitted, russian, basu"
426,"sanction, defence, skripal, western, hegemony"
427,"intervention, operation, humanitarian, nato, whose"
428,"settlement, operation, seek, intend, kyiv"
429,"resolution, interrupt, crimea, russia, nato"
430,"militarisation, four, un, side, meeting"
431,"withdraw, resolution, un, interrupt, region"
432,"resolution, normandy, un, nato, ukrainian"
433,"ukrainian, ukraine, donbas, army, obeys"
434,"actively, ukraine, today, yesterday, long"
435,"lithuania, estonia, opposed, donbas, russian"
436,"developed, become, crimea, nato, intended"
437,"developed, annexed, crimea, chatted, part"
438,"russia, evidence, investigative, downing, since"
439,"police, nothing, like, acknowledged, poisoning"
440,"reunited, independently, favour, russia, citizen"
441,"great, white, russian, people, belarusian"
442,"great, white, nazi, russian, belarusian"
443,"place, february, détat, result, crimea"
444,"exercise, sea, crimea, russia, nato"
445,"police, evidence, complicit, attack, suggest"
446,"oligarch, fear, bourgeoisie, russian, ukrainian"
447,"proof, state, russian, different, one"
448,"yanukovych, five, turkey, ukraine, way"
449,"language, ukraine, education, medium, cancelled"
450,"history, nbsp, rewrite, spread, initially"
451,"nowdeceased, senator, john, created, islamic"
452,"brussels, conflict, moscow, eastern, accuse"
453,"party, conflict, repeatedly, moscow, ukrainian"
454,"brussels, conflict, interfering, washington, eastern"
455,"stressing, interfering, washington, eastern, accuse"
456,"brussels, conflict, moscow, washington, accuse"
457,"party, conflict, russia, denied, ukrainian"
458,"conflict, interfering, ukraine, washington, accuse"
459,"stressing, interfering, repeatedly, accuse, denied"
460,"conflict, repeatedly, moscow, eastern, ukrainian"
461,"brussels, conflict, stressing, russia, denied"
462,"conflict, repeatedly, washington, accuse, denied"
463,"conflict, repeatedly, accuse, denied, ukrainian"
464,"conflict, repeatedly, washington, ukraine, russia"
465,"brussels, conflict, moscow, washington, ukrainian"
466,"conflict, interfering, repeatedly, moscow, eastern"
467,"brussels, conflict, interfering, russia, ukrainian"
468,"stressing, accuse, russia, denied, ukrainian"
469,"interfering, repeatedly, washington, eastern, accuse"
470,"brussels, moscow, ukraine, russia, denied"
471,"party, brussels, conflict, ukraine, accuse"
472,"party, washington, eastern, russia, ukrainian"
473,"conflict, stressing, accuse, denied, ukrainian"
474,"conflict, ukraine, washington, russia, denied"
475,"conflict, interfering, washington, russia, ukrainian"
476,"conflict, repeatedly, moscow, washington, accuse"
477,"party, conflict, interfering, washington, russia"
478,"brussels, conflict, interfering, moscow, eastern"
479,"party, conflict, stressing, eastern, denied"
480,"party, brussels, interfering, ukraine, ukrainian"
481,"conflict, ukraine, eastern, accuse, denied"
482,"conflict, interfering, ukraine, accuse, russia"
483,"brussels, conflict, stressing, accuse, denied"
484,"conflict, moscow, washington, russia, denied"
485,"party, conflict, stressing, repeatedly, russia"
486,"made, lab, british, russia, poison"
487,"working, american, created, inf, time"
488,"well, napalm, ground, vietnamese, weapon"
489,"europe, among, american, three, member"
490,"soviet, russia, position, organisation, important"
491,"state, currently, mean, independent, political"
492,"lithuania, service, speech, russian, latvia"
493,"religious, latter, health, ukrainian, ceremony"
494,"nbsp, president, changed, montenegro, đukanović"
495,"power, president, former, left, revolution"
496,"long, russia, weapon, destroyed, unlike"
497,"worked, ukraine, simply, know, libya"
498,"provided, europe, treaty, security, inf"
499,"termination, treaty, irresponsible, european, destroy"
500,"russia, west, since, source, longterm"
501,"treaty, responsibility, side, world, fundamental"
502,"arm, race, security, economic, new"
503,"human, reject, crimeans, schengen, whose"
504,"anomaly, area, global, warming, relationship"
505,"undermined, play, however, attempt, according"
506,"withdraw, treaty, washington, complied, used"
507,"vote, select, presidential, investigator, election"
508,"evidence, official, latest, skripal, story"
509,"mueller, american, russian, russia, investigated"
510,"mueller, trump, russia, despite, investigator"
511,"american, russian, presidential, russia, social"
512,"could, american, trump, russia, believe"
513,"mueller, donald, american, trump, russia"
514,"american, trump, allegation, russia, despite"
515,"socalled, donald, american, trump, russia"
516,"conspiracy, american, trump, russia, private"
517,"american, trump, help, prove, russia"
518,"broadcasting, also, american, trump, russia"
519,"robert, medium, presidential, russia, elect"
520,"american, trump, allegation, russia, elect"
521,"news, interference, american, trump, russia"
522,"conspiracy, american, trump, medium, russia"
523,"conspiracy, socalled, american, trump, russia"
524,"misleading, interference, russia, investigated, private"
525,"socalled, mueller, also, prove, despite"
526,"intelligence, american, trump, presidential, russia"
527,"american, trump, russia, investigator, elect"
528,"donald, american, trump, russia, election"
529,"cruise, poland, prohibited, base, tomahawktype"
530,"involvement, skripal, never, case, proved"
531,"treaty, started, give, gravedigger, inf"
532,"cloud, plant, blame, mayak, nuclear"
533,"eu, right, resident, country, schengen"
534,"right, issue, country, resident, attempt"
535,"issue, resident, country, citizen, attempt"
536,"right, crimea, russia, property, recognizes"
537,"release, captured, european, syria, islamic"
538,"equipment, threat, software, production, despite"
539,"bloodiest, yugoslavia, forgot, take, episode"
540,"georgia, causing, georgian, branch, one"
541,"claim, launched, ignored, many, year"
542,"state, treaty, whole, side, inf"
543,"treaty, whole, side, russia, inf"
544,"whole, side, campaign, propaganda, inf"
545,"quick, respond, work, advocate, groundless"
546,"five, accept, crimea, decided, otherwise"
547,"middle, big, trump, destroy, goal"
548,"detective, mh, finding, considered, investigation"
549,"although, investigating, disaster, invited, part"
550,"incident, sergey, congressman, skripal, package"
551,"protest, grigorieva, caused, embassy, murder"
552,"mexican, open, military, may, control"
553,"cartel, drug, trying, may, find"
554,"missile, treaty, russian, km, inf"
555,"without, uk, alleged, waiting, due"
556,"blackout, july, without, say, denied"
557,"attack, plane, say, approved, electromagnetic"
558,"unilaterally, treaty, core, inf, global"
559,"impartiality, uk, cover, medium, russian"
560,"occur, war, rampant, country, ukrainian"
561,"possible, turkey, order, russian, nato"
562,"eu, nbsp, agreement, message, received"
563,"july, mueller, russia, collusion, counsel"
564,"fat, donor, analyzed, year, political"
565,"eu, disintegration, program, country, sooner"
566,"buy, international, trafficking, crime, needed"
567,"georgia, doesnt, voice, nbsp, russia"
568,"state, deep, president, war, offering"
569,"membership, bulgarian, joining, nato, significant"
570,"sanction, involvement, irritated, russia, proven"
571,"union, poland, american, russia, prevent"
572,"report, administration, trump, russia, collusion"
573,"sanction, able, market, russia, find"
574,"service, act, sea, ukraine, special"
575,"service, fifth, ukraine, detention, ukrainian"
576,"detention, neyma, norm, black, ukrainian"
577,"whole, country, horrified, horrific, according"
578,"scandalised, whole, local, caracal, crime"
579,"respect, without, martial, red, introduction"
580,"authority, though, polish, august, russia"
581,"starting, managing, th, alqaeda, end"
582,"russia, yany, stop, border, gunboat"
583,"eu, impose, tool, institution, hegemony"
584,"popular, introduced, application, country, global"
585,"made, become, east, russia, continue"
586,"germany, aggressor, russia, invited, beginning"
587,"state, russophobia, germany, baltic, level"
588,"dont, advanced, everyone, western, medium"
589,"well, country, hot, nato, demand"
590,"degradation, changed, ukraine, basic, one"
591,"estonia, sputnik, world, country, represents"
592,"estonia, deprive, persecution, unleashed, country"
593,"see, audio, noise, level, part"
594,"known, uk, theresa, secretary, scandal"
595,"iran, perhaps, government, argentina, election"
596,"warn, uruguay, upcoming, intended, argentina"
597,"come, prior, power, deterrent, argentina"
598,"preservation, ussr, piłsudskis, characteristic, regime"
599,"parliament, minsk, need, ukraine, donbas"
600,"nationalist, rada, result, refuse, election"
601,"news, terrorist, west, feeding, helmet"
602,"news, ground, russian, troop, false"
603,"longer, ukraine, ruin, one, election"
604,"arrest, moon, video, washington, julian"
605,"arrest, assange, landing, american, publication"
606,"bringing, question, country, image, hong"
607,"uspromoted, kong, social, hong, part"
608,"associated, neonazis, ukraine, never, eastern"
609,"nazi, ukraine, still, power"
610,"rada, killed, society, ukrainian, full"
611,"ukraine, country, russia, refugee, election"
612,"called, observer, violation, free, election"
613,"possibility, campaign, ukrainian, phenomenal, electoral"
614,"latin, government, opposition, guarimberos, one"
615,"germany, muslim, become, country, year"
616,"call, chemical, direct, country, airstrikes"
617,"state, call, country, fabrication, helmet"
618,"state, white, taken, helmet, syria"
619,"state, call, direct, airstrikes, helmet"
620,"united, chemical, attack, airstrikes, helmet"
621,"concerning, call, excuse, chemical, white"
622,"state, direct, country, fabrication, airstrikes"
623,"concerning, chemical, direct, fabrication, helmet"
624,"enemy, war, russia, nato, want"
625,"demarche, event, world, since, new"
626,"really, resolution, pay, writes, one"
627,"eastward, war, provocation, nato, dominance"
628,"state, sanction, illegal, whether, european"
629,"illegal, whether, country, european, syria"
630,"illegal, united, whether, country, european"
631,"state, whether, european, country, syria"
632,"illegal, united, whether, european, syria"
633,"state, armed, nato, force, deep"
634,"responsible, treaty, european, destructive, inf"
635,"yerevan, community, flag, tbilisi, think"
636,"nato, existence, american, main, weapon"
637,"fake, moon, nbsp, american, never"
638,"eu, ukrainian, engage, russia, kyiv"
639,"domestic, nbsp, neither, conflict, moscow"
640,"police, young, chinese, people, tried"
641,"deemed, default, considered, russia, carefully"
642,"regulates, law, russian, simply, ukrainian"
643,"west, turn, preparing, embassy, since"
644,"missile, defence, radar, ukraine, russian"
645,"idlib, province, russian, syria, hence"
646,"treaty, within, unfounded, inf, avoided"
647,"mainly, mercenary, presence, people, protect"
648,"put, colour, csto, nato, atlantic"
649,"everything, europe, treaty, blame, inf"
650,"july, evidence, show, western, bigger"
651,"state, collapse, history, believed, arrived"
652,"must, unjustified, irrational, european, imposing"
653,"treaty, poland, ussr, divide, signed"
654,"voted, jenny, russia, favor, member"
655,"europe, release, assembly, november, russia"
656,"proof, withdraw, moscow, commitment, trump"
657,"news, unclear, mi, extent, evidently"
658,"elite, though, ussr, country, russia"
659,"thing, moscow, ukraine, russia, talk"
660,"zelenskyy, democratic, governing, form, volodymyr"
661,"chemical, attack, western, douma, hide"
662,"even, thing, forbidden, exchange, outside"
663,"eu, russiasanctions, initiate, discussion, holding"
664,"president, internal, killed, take, part"
665,"ukraine, people, ukrainian, despite, part"
666,"state, biden, united, nato, want"
667,"treaty, pulled, latter, ukraine, border"
668,"intention, logbook, admitted, sailor, document"
669,"union, soviet, alliance, military, nato"
670,"ship, russian, ukrainian, fsb, kerch"
671,"provocation, strait, ukrainian, impertinence, election"
672,"ask, question, lie, wrong, one"
673,"state, introduce, provocation, emergency, poroshenko"
674,"hysteria, moldova, remain, russia, force"
675,"georgia, grown, protest, wake, current"
676,"biggest, whole, quest, east, hegemony"
677,"polish, worker, survives, country, gas"
678,"obscure, energy, slavery, polish, american"
679,"obscure, subject, polish, independent, emigrating"
680,"nbsp, conceptual, commission, kind, trilateral"
681,"europe, reassuring, creating, eastern, european"
682,"europe, expert, eastern, route, aimed"
683,"major, element, war, russia, election"
684,"united, element, war, sustaining, russia"
685,"th, foreign, society, british, belarusian"
686,"protest, bnc, people, belarusian, statkevich"
687,"away, see, turned, luhansk, donetsk"
688,"missile, american, people, opposition, belarusian"
